,Name,Category,Image,Well_Known_Movie,Bio
10,Vivien Leigh,Actress,"https://m.media-amazon.com/images/M/MV5BMTI2NTkwMTQ5NF5BMl5BanBnXkFtZTYwNDExNjI2._V1_UY209_CR1,0,140,209_AL_.jpg",A Streetcar Named Desire,"If a film were made of the life of Vivien Leigh, it would open in India just before World War I, where a successful British businessman could live like a prince"
11,Ranjit Chowdhry,Actor,"https://m.media-amazon.com/images/M/MV5BZjVlNWM0YjItNWZlNy00ZTJmLThlZTItYzY1ZWNhNTk3Nzc5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UY209_CR1,0,140,209_AL_.jpg",Prison Break,Ranjit Chowdhry was born in 1956 in India
12,Joanna Lumley,Actress,"https://m.media-amazon.com/images/M/MV5BOTgzOTU3MDEwOV5BMl5BanBnXkFtZTgwNTE3MDgwNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",The Wolf of Wall Street,"Joanna Lumley was born on 1 May, 1946 in Kashmir, India, to British parents, Thya Beatrice Rose (Weir) and James Rutherford Lumley"
13,Hugh Keays-Byrne,Actor,"https://m.media-amazon.com/images/M/MV5BMTcyMDczOTMzNF5BMl5BanBnXkFtZTcwODcyNDE3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Mad Max: Fury Road,"Hugh Keays-Byrne was born in 1947 in Kashmir, India"
14,Hrithik Roshan,Actor,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR0,0,140,209_AL_.jpg",Super 30,"Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks"
15,Salman Khan,Actor,"https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY209_CR7,0,140,209_AL_.jpg",Sultan,"Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978)"
16,Akshay Kumar,Actor,"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg",Hera Pheri,"Akshay Kumar, born September 9, 1967, is an actor"
17,Amitabh Bachchan,Actor,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg",Black,Son of well known poet Harivansh Rai Bachchan and Teji Bachchan
18,Irrfan Khan,Actor,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR8,0,140,209_AL_.jpg",Dabba,"Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family"
19,Rani Mukerji,Actress,"https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Black,Mukerji comes from a film-oriented family of Bengali origin
20,Kareena Kapoor,Actress,"https://m.media-amazon.com/images/M/MV5BMjAyNjM4NTAwN15BMl5BanBnXkFtZTcwNDkxNzQzNg@@._V1_UY209_CR87,0,140,209_AL_.jpg",Jab We Met,"Kareena was born to Sindhi-speaking Babita (nee Shivdasani) and Punjabi-speaking Randhir Kapoor in Bombay, India"
21,Ali Fazal,Actor,"https://m.media-amazon.com/images/M/MV5BZGMxYWNhZjAtYmRmNC00M2MzLWI0YzQtNzllNGVjODZiYTQxXkEyXkFqcGdeQXVyMTYzNTg1Nzk@._V1_UX140_CR0,0,140,209_AL_.jpg",Victoria & Abdul,"Ali Fazal was born on October 15, 1986 in New Delhi, India"
22,Persis Khambatta,Actress,"https://m.media-amazon.com/images/M/MV5BMzEzNjUzNzY5OV5BMl5BanBnXkFtZTcwOTAxOTkxOA@@._V1_UY209_CR11,0,140,209_AL_.jpg",Star Trek: The Motion Picture,"Persis Khambatta was born on October 2, 1948 in Bombay, India"
23,Padma Lakshmi,Actress,"https://m.media-amazon.com/images/M/MV5BMTU3MTc2NjIzOV5BMl5BanBnXkFtZTcwMzE1MDA0NQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Enterprise,"Padma Lakshmi was born on September 1, 1970 in Madras, Tamil Nadu, India"
24,Dalip Singh,Actor,"https://m.media-amazon.com/images/M/MV5BMTMzMTk5MjU4N15BMl5BanBnXkFtZTYwNjU0NDE1._V1_UY209_CR1,0,140,209_AL_.jpg",Get Smart,"Dalip Singh was born on August 27, 1972 in Dhirana, Himachal Pradesh, India as Dalip Singh Rana"
25,Amrish Puri,Actor,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg",Indiana Jones and the Temple of Doom,"Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954"
26,Disha Patani,Actress,"https://m.media-amazon.com/images/M/MV5BZmM3YTg2ZjUtNWMwMi00NWE2LWE1YmMtYWM1ZDViNmYzOWRkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",M.S. Dhoni: The Untold Story,Disha Patani was born in India in 1992
27,Kajol,Actress,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR4,0,140,209_AL_.jpg",Kuch Kuch Hota Hai,"Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee"
28,Saif Ali Khan,Actor,"https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Kal ho naa ho,"Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan"
29,Aasif Mandvi,Actor,"https://m.media-amazon.com/images/M/MV5BYzVlMDkzNGEtZjk0Yy00ZjRjLWI2OTEtN2U1N2E0ZDhlZmJkXkEyXkFqcGdeQXVyOTAyOTE4Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Million Dollar Arm,"Aasif Mandvi was born on March 5, 1966 in Bombay, Maharashtra, India as Aasif Mandviwala"
30,Nazneen Contractor,Actress,"https://m.media-amazon.com/images/M/MV5BNzZhMjYzMGEtYTA2Zi00ODI1LTgyMzItNTBmZjhiYjQ1ODhlXkEyXkFqcGdeQXVyMTQ4NzI0NDQ@._V1_UY209_CR9,0,140,209_AL_.jpg","Roman J. Israel, Esq.","Born in Mumbai, India and raised in Nigeria until the age of seven, Contractor was well-versed in world travels and a variety of cultures at a very young age"
31,Suraj Sharma,Actor,"https://m.media-amazon.com/images/M/MV5BMjI0MDU5NTM1OF5BMl5BanBnXkFtZTcwNDQ0MDYwOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",Life of Pi,"Suraj was born and raised in New Dehli, India"
32,Anushka Sharma,Actress,"https://m.media-amazon.com/images/M/MV5BNGM5YmYwNjUtNzQyYS00OGY0LTljZDAtMDNiMjhiOTFiMzRiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR2,0,140,209_AL_.jpg",Jab Tak Hai Jaan,"Anushka Sharma was born on 1 May 1988 in Ayodhya, Uttar Pradesh"
33,Rakul Preet Singh,Actress,"https://m.media-amazon.com/images/M/MV5BNDdkMWYzNzEtMDE2My00ZWFkLWFjODItMWU1Y2ZiYmRhNTUyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR9,0,140,209_AL_.jpg",Nannaku Prematho,Rakul Preet Singh is an Indian actress and model who works mainly in the south Indian film industry
34,Allu Arjun,Actor,"https://m.media-amazon.com/images/M/MV5BZGI4YTQ5ZmEtMzllOC00NjlhLTg2ODMtN2I0MzVkYWQzZDI5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg",Sarrainodu,"Allu Arjun nicknamed Bunny was born on April 8, 1983"
35,Joseph Vijay,Actor,"https://m.media-amazon.com/images/M/MV5BMTY2NzMzZDgtNTkxYS00NDMxLWE3MjAtZmFhYzhhNThjZTI1XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Thuppakki,Vijay was born to a famous Tamil film producer and director S
36,Kiara Advani,Actress,"https://m.media-amazon.com/images/M/MV5BMTEyOTQ2NDE1NzNeQTJeQWpwZ15BbWU4MDgyNzczNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Kabir Singh,"Kiara Advani was born on July 31, 1992 in Bombay, Maharashtra, India"
37,Anupam Kher,Actor,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY209_CR3,0,140,209_AL_.jpg",Silver Linings Playbook,"Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India"
38,Ajay Devgn,Actor,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg",Shivaay,"Ajay Devgn is an Indian film actor, director, and producer"
39,Sayani Gupta,Actress,"https://m.media-amazon.com/images/M/MV5BNTU1NzExNTQ1OV5BMl5BanBnXkFtZTgwOTczMzY4NzE@._V1_UY209_CR34,0,140,209_AL_.jpg",Article 15,"Sayani Gupta, (pronounced as Shayoni) born and brought up in Kolkata, is a diverse individual who fine tuned skills in the segment of performing arts"
40,Vikram,Actor,"https://m.media-amazon.com/images/M/MV5BNjUyNzc2NDczNF5BMl5BanBnXkFtZTgwMjAyMDU0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Anniyan,"Vikram is an Indian film actor, voice actor and a playback singer"
41,Dulquer Salmaan,Actor,"https://m.media-amazon.com/images/M/MV5BNWRkMDdjNTYtYTk5ZS00ZThlLTlhMDctZGQ1YTI1NjE0MGUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Charlie,Dulquer Salmaan was born on 28 July 1986 as the younger son of actor Mammootty and Sulfath
42,Ayushmann Khurrana,Actor,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg",Andhadhun,"Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India"
43,Nawazuddin Siddiqui,Actor,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Bajrangi Bhaijaan,"Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012)"
44,Tabu,Actress,"https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY209_CR1,0,140,209_AL_.jpg",Haider,Tabu is an Indian actress
45,Merle Oberon,Actress,"https://m.media-amazon.com/images/M/MV5BMTM3MDI2ODI0NV5BMl5BanBnXkFtZTYwNDIwNzQ2._V1_UY209_CR6,0,140,209_AL_.jpg",Wuthering Heights,"Estelle Merle Thompson was born in India on February 19, 1911 of Welsh and Ceylonese (now Sri Lankan) descent"
46,Shruti Haasan,Actress,"https://m.media-amazon.com/images/M/MV5BNDFiMmEzMWUtOGFmZi00ZTMxLTkxYWUtNjFlZDUyODlhZjNlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg",7 Aum Arivu,Shruti Kamal Haasan is an India Film actress and singer and the daughter of legendary actor Kamal Haasan and Sarika
47,Kirti Kulhari,Actress,"https://m.media-amazon.com/images/M/MV5BMDMxNmViNjgtNDhiYy00Y2JmLWExMjEtNGYxNDMwNjQ5YTU2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Pink,"Kirti Kulhari was born on May 30, 1985 in Jhunjhunu, Rajasthan, India"
48,Gabrielle Drake,Actress,"https://m.media-amazon.com/images/M/MV5BMTg4NzA5Mzk5N15BMl5BanBnXkFtZTgwMjI3NTkyMTE@._V1_UY209_CR13,0,140,209_AL_.jpg",UFO... annientare S.H.A.D.O. stop. Uccidete Straker...,"Gabrielle Drake was born March 30, 1944 in Lahore, Pakistan"
49,Shraddha Kapoor,Actress,"https://m.media-amazon.com/images/M/MV5BMTU1NzU2Nzk0MV5BMl5BanBnXkFtZTgwMzIzMzg4MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Aashiqui 2,Shraddha Kapoor is an Indian film actress
50,Preity Zinta,Actress,"https://m.media-amazon.com/images/M/MV5BNjM3NzY5ODkwNl5BMl5BanBnXkFtZTcwMDUwMDgxOA@@._V1_UY209_CR7,0,140,209_AL_.jpg",Veer-Zaara,"Preity Zinta shot to fame as the refreshing, cool, wet model in the Liril commercial"
51,Anurag Kashyap,Producer,"https://m.media-amazon.com/images/M/MV5BMjExOTEyNDcwMl5BMl5BanBnXkFtZTgwMjM3NzM0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Gangs of Wasseypur,"Anurag Singh Kashyap (born 10 September 1972) is an Indian film director, producer and screenwriter"
52,Meta Golding,Actress,"https://m.media-amazon.com/images/M/MV5BNmU3NjFjYWItNDZhMC00YjJjLTg0ZGEtYTlmN2I2NzMwYzI0XkEyXkFqcGdeQXVyNTM2MjQ1NA@@._V1_UY209_CR113,0,140,209_AL_.jpg",Surrogates,"Meta Golding is of Haitian descent but was raised in the United States, India, France and Italy as well as Haiti itself"
53,Anil Kapoor,Actor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Slumdog Millionaire,"Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor"
54,Ileana D'Cruz,Actress,"https://m.media-amazon.com/images/M/MV5BMTQwNjI1MDY4NV5BMl5BanBnXkFtZTcwMjU1MDg2OA@@._V1_UY209_CR1,0,140,209_AL_.jpg",Barfi!,"She made her debut in the Telugu film Devadasu, which became the year's first major commercial success"
55,Tiger Shroff,Actor,"https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Heropanti,"Tiger Shroff was born on March 2, 1990 in Mumbai, India as Jai Hemant Shroff"
56,Mahesh Babu,Actor,"https://m.media-amazon.com/images/M/MV5BMDdjMTAxYmYtOTQ5OS00Mjc2LTk3MDctZTcxNmFlNDY2YjYwXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",1 - Nenokkadine,"Ghattamaneni Mahesh Babu was born in Chennai, Tamil Nadu, to prominent Telugu Cinema Actor Krishna Ghattamaneni and Smt"
57,John Abraham,Actor,"https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_UX140_CR0,0,140,209_AL_.jpg",Dhoom,"Born and brought up in Mumbai, India, John Abraham is one of the most successful male models in India"
58,Ranbir Kapoor,Actor,"https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Rockstar,"Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor"
59,Sanjay Dutt,Actor,"https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY209_CR87,0,140,209_AL_.jpg",Munna Bhai M.B.B.S.,"Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit"
60,Naseeruddin Shah,Actor,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg",The League of Extraordinary Gentlemen,"Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India"
61,Roshan Seth,Actor,"https://m.media-amazon.com/images/M/MV5BMTU4MDc5MjA5MF5BMl5BanBnXkFtZTcwNzc2MjYyOA@@._V1_UY209_CR6,0,140,209_AL_.jpg",Gandhi,"A native of New Delhi, India, British character actor of theater and film Roshan Seth honed the skills he learned at London's Academy of Music and Dramatic Arts in British repertory theater"
62,Prabhas,Actor,"https://m.media-amazon.com/images/M/MV5BMjliZmI3YmMtYWU1NS00MjVlLTkxZTQtYjIzYzFkNWNjOTZkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Bãhubali: The Beginning,Prabhas was born to late U
63,Suriya,Actor,"https://m.media-amazon.com/images/M/MV5BYjEyODkwMTUtMWQ2Mi00MTJjLWE2MTAtM2ExMzljNGY0ZTc2XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR18,0,140,209_AL_.jpg",24,"Suriya was born to actor Sivakumar and his wife Lakshmi in Chennai, but brought up in Coimbatore"
64,Ajith Kumar,Actor,"https://m.media-amazon.com/images/M/MV5BMmZlNDMwMGMtODQ2Ny00NWI3LTg2NjgtNTFmYjA3Y2IzOTlkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR49,0,140,209_AL_.jpg",Villain,Ajith Kumar is an Indian film actor who has worked mainly in Tamil cinema
65,Randeep Hooda,Actor,"https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY209_CR34,0,140,209_AL_.jpg",Sarbjit,Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana
66,Ranveer Singh,Actor,"https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY209_CR1,0,140,209_AL_.jpg",Gully Boy,Ranveer Singh is an Indian actor working in Bollywood
67,Rajinikanth,Actor,"https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY209_CR1,0,140,209_AL_.jpg",Enthiran,Rajinikanth has been a megastar in the Tamil movie industry since the 70s
68,Nina Wadia,Actress,"https://m.media-amazon.com/images/M/MV5BN2NhODA1YTItZjU3Ny00N2IxLWFiODktODMyODgwZjAwNmFlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR1,0,140,209_AL_.jpg",Bend It Like Beckham,"Nina Wadia was born on December 18, 1968 in Bombay, Maharashtra, India"
69,Shriya Saran,Actress,"https://m.media-amazon.com/images/M/MV5BMTk4MDc5NDk3MV5BMl5BanBnXkFtZTcwNTc5MDQ2NA@@._V1_UY209_CR87,0,140,209_AL_.jpg",Drishyam,"Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter"
70,Fatima Sana Shaikh,Actress,"https://m.media-amazon.com/images/M/MV5BNzcwNjcxYTYtYWFjOS00YzNiLTk5MjgtMjQ0NGFlMDY3ODU3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR5,0,140,209_AL_.jpg",Dangal,"Fatima Sana Shaikh was born in Mumbai, India, to Hindu Brahman Father, Vipen Sharma, and Muslim Mother, Raj Tabassum"
71,Shahid Kapoor,Actor,"https://m.media-amazon.com/images/M/MV5BMjc5NTM5NjUyMV5BMl5BanBnXkFtZTgwMDEwMzU1OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Haider,Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner
72,Kangana Ranaut,Actress,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY209_CR4,0,140,209_AL_.jpg",Queen,"Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh"
73,Mammootty,Actor,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Mathilukal,Malayalam film actor Mammootty was born to Ismail (an agriculturist) and Fatima (a homemaker)
74,Nayanthara,Actress,"https://m.media-amazon.com/images/M/MV5BOGY1OWIxNjItYzI0MS00NmUxLWFjZDQtOWUzNmI4ZjdiMTk2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Iru Mugan,"Nayantara was born as Diana Mariam Kurien in a Malayali Nasrani (Syrian Christian) family to an Indian Army Officer father, Kurien Kodiyattu, and Omana Kurien, in Bangalore, Karnataka"
75,Rashmika Mandanna,Actress,"https://m.media-amazon.com/images/M/MV5BN2U1YjY0M2MtNDIzNC00NTFjLTkwNDgtOGU4YzUwYTQwZjk3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR13,0,140,209_AL_.jpg",Geetha Govindam,"Rashmika Mandanna was born on April 5, 1996 in Virajpete, Kodagu (Coorg), Karnataka, India"
76,Taapsee Pannu,Actress,"https://m.media-amazon.com/images/M/MV5BOTIwYTM2ODItMWRjMC00OGY3LWI2ZDAtMjE4N2I3ZjU3NDUyXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_UX140_CR0,0,140,209_AL_.jpg",Pink,"Taapsee Pannu was born on August 1, 1987 in Delhi, India"
77,Bhumi Pednekar,Actress,"https://m.media-amazon.com/images/M/MV5BMjMzNTM5NTIyOV5BMl5BanBnXkFtZTgwMTQ2ODA0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Dum Laga Ke Haisha,"Bhumi Pednekar was born on July 18, 1989 in Bombay, Maharashtra, India"
78,Ram Charan,Actor,"https://m.media-amazon.com/images/M/MV5BNmRhODU0MjEtYTQ1Yi00N2E4LWE2MDUtMGRhMDY5M2UxOWNiXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Magadheera,"Ram Charan was born on March 27, 1985 in Madras, Tamil Nadu, India as Ram Charan Tej Konidela"
79,Tarsem Singh,Director,"https://m.media-amazon.com/images/M/MV5BMTY3MjcyNjgyNl5BMl5BanBnXkFtZTcwMDU4NTIwNw@@._V1_UY209_CR6,0,140,209_AL_.jpg",The Fall,Indian director Tarsem Singh is the son of an aircraft engineer
80,Sridevi,Actress,"https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_UY209_CR18,0,140,209_AL_.jpg",English Vinglish,"Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India"
81,Aditi Rao Hydari,Actress,"https://m.media-amazon.com/images/M/MV5BMTY3OTc3NTg2OV5BMl5BanBnXkFtZTgwMjkzMDY3NTE@._V1_UY209_CR17,0,140,209_AL_.jpg",Padmaavat,"Aditi Rao Hydari was born in 1986 in Hyderabad, from two royal lineages, that of Sir Akbar Hydari and J"
82,Sidharth Malhotra,Actor,"https://m.media-amazon.com/images/M/MV5BNDQyNjk3Mzk3OF5BMl5BanBnXkFtZTgwOTYyODMxMTE@._V1_UY209_CR87,0,140,209_AL_.jpg",Hasee Toh Phasee,"Sidharth Malhotra was born on January 16, 1985 in Delhi, India"
